ip,request_count,unique_urls,error_rate,avg_size,post_ratio,unique_url_ratio,anomaly_score,is_anomaly,anomaly_label,anomaly_score_norm
10.0.0.99,150,1,1.0,210.0,1.0,0.0066666666666666,-0.3022596113545609,1,ANOMALY,1.0
172.16.5.200,50,1,0.0,4500.0,0.0,0.02,-0.25679058552841794,1,ANOMALY,0.9052292142618101
185.220.101.45,100,8,1.0,180.0,0.0,0.08,-0.27435793442078393,1,ANOMALY,0.9418447217994536
192.168.1.1,100,6,0.0,3994.81,0.5,0.06,0.15717565995657434,0,Normal,0.04240214372571205
192.168.1.10,82,6,0.0,4571.134146341464,0.524390243902439,0.073170731707317,0.034198006651866786,0,Normal,0.29872364215607505
192.168.1.11,91,6,0.0,3777.4175824175823,0.5054945054945055,0.0659340659340659,0.07389030823933845,0,Normal,0.21599324402559483
192.168.1.12,95,6,0.0,4230.336842105263,0.4842105263157895,0.0631578947368421,0.1562157099434695,0,Normal,0.044402961103220506
192.168.1.13,110,6,0.0,4536.590909090909,0.5545454545454546,0.0545454545454545,0.08919284795709698,0,Normal,0.18409826306895416
192.168.1.14,88,6,0.0,4151.011363636364,0.5340909090909091,0.0681818181818181,0.1200224831030553,0,Normal,0.11984026119365798
192.168.1.15,101,6,0.0,4199.950495049505,0.504950495049505,0.0594059405940594,0.17751931494614465,0,Normal,0.0
192.168.1.16,87,6,0.0,4535.597701149425,0.5057471264367817,0.0689655172413793,0.07382355005943331,0,Normal,0.2161323876524729
192.168.1.17,82,6,0.0,3944.4024390243903,0.4512195121951219,0.073170731707317,0.05410467219378057,0,Normal,0.2572323126068544
192.168.1.18,76,6,0.0,3991.565789473684,0.5131578947368421,0.0789473684210526,0.0012419894876587456,0,Normal,0.36741364781829244
192.168.1.19,88,6,0.0,4059.4204545454554,0.4659090909090909,0.0681818181818181,0.10868552619773908,0,Normal,0.14346980447670477
192.168.1.2,104,6,0.0,4379.740384615385,0.5096153846153846,0.0576923076923076,0.16184097371654355,0,Normal,0.03267826152867448
192.168.1.20,90,6,0.0,4352.011111111111,0.4777777777777778,0.0666666666666666,0.12693775409923785,0,Normal,0.10542680821125594
192.168.1.21,96,6,0.0,3979.7083333333335,0.4791666666666667,0.0625,0.13376766671879864,0,Normal,0.09119126712106629
192.168.1.22,100,6,0.0,4394.9,0.5,0.06,0.1617466121486369,0,Normal,0.032874938712131097
192.168.1.23,108,6,0.0,4178.842592592592,0.5277777777777778,0.0555555555555555,0.1498533022000773,0,Normal,0.057664084913824354
192.168.1.24,118,6,0.0,4362.813559322034,0.4830508474576271,0.0508474576271186,0.06699692552065112,0,Normal,0.2303610754179367
192.168.1.25,99,6,0.0,4276.050505050505,0.5353535353535354,0.0606060606060606,0.1636912623881151,0,Normal,0.028821717253505796
192.168.1.26,107,6,0.0,4071.018691588785,0.5700934579439252,0.0560747663551401,0.11770693803971805,0,Normal,0.12466653624744384
192.168.1.27,103,6,0.0,4198.398058252427,0.4368932038834951,0.058252427184466,0.1532273499849594,0,Normal,0.05063157973295407
192.168.1.28,103,6,0.0,4077.359223300971,0.6116504854368932,0.058252427184466,0.08154538189877353,0,Normal,0.2000378253112739
192.168.1.29,99,6,0.0,4361.515151515152,0.4747474747474747,0.0606060606060606,0.15917015132627504,0,Normal,0.03824503873346263
192.168.1.3,105,6,0.0,3944.3714285714286,0.4666666666666667,0.0571428571428571,0.12602241801825614,0,Normal,0.10733463706909963
192.168.1.30,92,6,0.0,4132.847826086957,0.5217391304347826,0.0652173913043478,0.13924192152258075,0,Normal,0.0797813145289612
192.168.1.31,114,6,0.0,4415.122807017544,0.5526315789473685,0.0526315789473684,0.09233293901965756,0,Normal,0.1775533923161431
192.168.1.32,93,6,0.0,4353.94623655914,0.5268817204301075,0.064516129032258,0.13870316528005067,0,Normal,0.08090424055383716
192.168.1.33,107,6,0.0,4146.551401869159,0.514018691588785,0.0560747663551401,0.1607229379651679,0,Normal,0.03500857595076923
192.168.1.34,104,6,0.0,4407.2307692307695,0.4326923076923077,0.0576923076923076,0.12291171312388349,0,Normal,0.11381825842853999
192.168.1.35,82,6,0.0,4142.134146341464,0.4146341463414634,0.073170731707317,0.06007409675898495,0,Normal,0.24479028100027445
192.168.1.36,106,6,0.0,4174.915094339623,0.490566037735849,0.0566037735849056,0.16200126209438437,0,Normal,0.03234417353719743
192.168.1.37,99,6,0.0,4075.838383838384,0.494949494949495,0.0606060606060606,0.16587295105529726,0,Normal,0.024274438188950254
192.168.1.38,97,6,0.0,4285.278350515464,0.4020618556701031,0.0618556701030927,0.10574056978801905,0,Normal,0.14960795738064092
192.168.1.39,96,6,0.0,4172.3125,0.53125,0.0625,0.15597899559161543,0,Normal,0.044896343240029335
192.168.1.4,105,6,0.0,4222.333333333333,0.3904761904761905,0.0571428571428571,0.1046768883098218,0,Normal,0.15182498155550128
192.168.1.40,98,6,0.0,4199.7040816326535,0.5102040816326531,0.0612244897959183,0.17515170978343514,0,Normal,0.004934783569934487
192.168.1.41,104,6,0.0,4273.5,0.4230769230769231,0.0576923076923076,0.14021837789412145,0,Normal,0.07774609305921143
192.168.1.42,113,6,0.0,4556.41592920354,0.5575221238938053,0.0530973451327433,0.06057241111797307,0,Normal,0.24375164772217217
192.168.1.43,103,6,0.0,4405.330097087379,0.5048543689320388,0.058252427184466,0.15785694209904627,0,Normal,0.04098215192297716
192.168.1.44,103,6,0.0,4196.95145631068,0.5242718446601942,0.058252427184466,0.17192674085822945,0,Normal,0.01165656468289733
192.168.1.45,105,6,0.0,4420.838095238095,0.4666666666666667,0.0571428571428571,0.13982211402840733,0,Normal,0.07857202317825496
192.168.1.46,99,6,0.0,4160.10101010101,0.5252525252525253,0.0606060606060606,0.17606520213881577,0,Normal,0.0030307975770021978
192.168.1.47,112,6,0.0,4152.651785714285,0.4375,0.0535714285714285,0.09401078603756147,0,Normal,0.17405626702379062
192.168.1.48,81,6,0.0,4153.444444444444,0.4444444444444444,0.074074074074074,0.06993590170642539,0,Normal,0.2242353870546837
192.168.1.49,102,6,0.0,4195.117647058823,0.4019607843137255,0.0588235294117647,0.12661892794509289,0,Normal,0.10609133542716198
192.168.1.5,109,6,0.0,3876.385321100917,0.6055045871559633,0.055045871559633,0.0340899484156123,0,Normal,0.2989488672135565
