domain,cluster_id,cluster_phish_rate,cluster_risk_label,url_count,phish_count
1.70.138.72:36854,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
1.70.162.18:42667,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
1.70.172.180:51590,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
1.87.210.67:35873,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
101.108.71.155:46327,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
101.32.34.196:8099,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
101.42.109.248,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
102.141.9.154:21708,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
102.33.134.148:48990,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
102.33.137.57:47867,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
102.33.41.34:50789,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
102.33.42.149:55695,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
102.33.43.113:54660,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
103.101.81.142:1281,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
103.114.163.238,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
103.118.45.13:43413,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
103.125.163.10:7080,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
103.130.147.211,0,0.0004137360364087712,LOW RISK — Legitimate,2,0
103.161.34.97,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
103.197.115.206:59463,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
103.200.85.158:52396,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
103.203.72.174:46889,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
103.203.72.79:52854,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
103.208.230.37:39674,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
103.230.121.12.sslip.io,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
103.238.234.112,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
103.238.235.110,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
103.252.89.37,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
103.252.90.100,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
103.28.35.146,0,0.0004137360364087712,LOW RISK — Legitimate,4,0
103.43.18.71:88,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
103.61.103.83:2620,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
103.72.57.120,0,0.0004137360364087712,LOW RISK — Legitimate,3,0
104.168.32.148,0,0.0004137360364087712,LOW RISK — Legitimate,1,0
